House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
22,June Knolls,Lawrence,Butler,75,Husband,Married,Male,Retired Town planner,None,None
23,June Knolls,Carly,Martin,41,Head,Single,Female,Cytogeneticist,None,
24,June Knolls,Natalie,Walker,24,Head,Single,Female,Press sub,None,None
25,June Knolls,Charlene,Ashton-Cox,65,Head,Divorced,Female,Unemployed,None,Intramystical
25,June Knolls,Marcus,Ashton-Cox,41,Son,Single,Male,Legal executive,None,Intramystical
26,June Knolls,Melanie,Fisher,54,Head,Single,Female,"Scientist, research (physical sciences)",None,Intramystical
27,June Knolls,Joan,Wong,46,Head,Divorced,Female,"Designer, textile",None,None
27,June Knolls,Kim,Wong,21,Daughter,Single,Female,University Student,None,None
1,Green Knoll,Carol,Hunt,56,Head,Widowed,Female,Unemployed,None,Septheism
1,Green Knoll,Jay,Hunt,31,Son,Single,Male,Commissioning editor,None,Septheism
2,Green Knoll,Sian,Davey,64,Head,Single,Female,"Engineer, electrical",None,None
3,Green Knoll,Jean,Harris,33,Head,Single,Female,Print production planner,None,Intramystical
3,Green Knoll,Lynn,Harris,5,Daughter,NA,Female,Student,None,NA
4,Green Knoll,Jean,Tucker,73,Head,Married,Female,Retired Broadcast presenter,None,None
4,Green Knoll,Nigel,Tucker,71,Husband,Married,Male,Retired Human resources officer,None,None
5,Green Knoll,Francesca,Gill,36,Head,Single,Female,"Librarian, public",None,None
5,Green Knoll,Tony,Rhodes,38,Partner,Single,Male,"Engineer, electronics",None,None
5,Green Knoll,Jack,Gill,2,Son,NA,Male,Child,None,NA
6,Green Knoll,Jennifer,Bell,43,Head,Married,Female,Oceanographer,None,Triangulism
6,Green Knoll,Caroline,Bell,45,Wife,Married,Female,Theatre manager,None,Triangulism
7,Green Knoll,Christopher,Matthews,50,Head,Single,Male,Air cabin crew,None,Triangulism
7,Green Knoll,Karen,Andrews,34,None,Single,Female,Museum/gallery exhibitions officer,None,Triangulism
7,Green Knoll,Nigel,Elliott,32,None,Single,Male,Unemployed,None,None
7,Green Knoll,Scott,Barnes,44,None,Single,Male,Television floor manager,None,None
8,Green Knoll,Kenneth,Robinson,76,Head,Divorced,Male,"Retired Therapist, horticultural",None,Intramystical
8,Green Knoll,Graeme,Brown,21,Grandson,Divorced,Male,University Student,None,Intramystical
8,Green Knoll,Jordan,Roberts,19,Grandson,Single,Male,University Student,None,Intramystical
8,Green Knoll,Ryan,Roberts,17,Grandson,NA,Male,Student,None,NA
9,Green Knoll,Harry,Barber,74,Head,Married,Male,Retired Theatre director,None,None
9,Green Knoll,Joanne,Barber,69,Wife,Married,Female,Retired Forensic psychologist,None,None
9,Green Knoll,Katherine,Turner,16,Granddaughter,NA,Female,Student,None,NA
10,Green Knoll,Lucy,Burke,22,Head,Single,Female,University Student,None,Intramystical
10,Green Knoll,Jack,Atkinson,19,None,Single,Male,University Student,None,Intramystical
10,Green Knoll,Joel,Fowler,19,None,Single,Male,University Student,None,None
11,Green Knoll,Valerie,Randall,34,Head,Married,Female,Consulting civil engineer,None,None
11,Green Knoll,Mohammed,Randall,35,Husband,Married,Male,Chief Financial Officer,None,None
11,Green Knoll,Steven,Randall,14,Son,NA,Male,Student,None,NA
11,Green Knoll,Beverley,Randall,11,Daughter,NA,Female,Student,None,NA
12,Green Knoll,Harriet,Johnson,74,Head,Married,Female,Retired Furniture conservator/restorer,None,Intramystical
12,Green Knoll,Cameron,Johnson,77,Husband,Married,Male,Retired Clinical embryologist,None,Intramystical
12,Green Knoll,Sophie,Johnson,45,Daughter,Divorced,Female,Unemployed,None,Intramystical
12,Green Knoll,Clare,Johnson,41,Daughter,Single,Female,IT trainer,None,None
12,Green Knoll,Ross,Johnson,41,Son,Single,Male,Health and safety inspector,None,None
13,Green Knoll,Ann,Martin,29,Head,Married,Female,Learning disability nurse,None,None
13,Green Knoll,Graeme,Martin,34,Husband,Married,Male,Musician,None,None
13,Green Knoll,Clive,Garner,48,Lodger,Single,Male,Chief Strategy Officer,None,Triangulism
14,Green Knoll,Alison,Wood,65,Head,Married,Female,Therapeutic radiographer,None,Intramystical
14,Green Knoll,Shaun,Wood,64,Husband,Married,Male,Holiday representative,None,None
14,Green Knoll,Alexandra,Wood,36,Daughter,Divorced,Female,Arts development officer,None,None
14,Green Knoll,Bradley,Wood,36,Son,Divorced,Male,Risk manager,None,None
15,Green Knoll,Jessica,McDonald,24,Head,Married,Female,Production engineer,None,None
15,Green Knoll,Michael,McDonald,19,Husband,Married,Male,University Student,None,None
15,Green Knoll,Eleanor,McDonald,6,Daughter,NA,Female,Student,None,NA
16,Green Knoll,Lesley,Begum,59,Head,Married,Female,Stage manager,None,Intramystical
16,Green Knoll,Shaun,Begum,58,Husband,Married,Male,"Engineer, petroleum",None,Intramystical
16,Green Knoll,Patrick,Begum,33,Son,Widowed,Male,Toxicologist,None,Intramystical
17,Green Knoll,Valerie,Hunt,56,Head,Married,Female,Medical physicist,None,Intramystical
17,Green Knoll,Geoffrey,Hunt,57,Husband,Married,Male,Risk analyst,None,Intramystical
17,Green Knoll,Shannon,Hunt,21,Daughter,Single,Female,University Student,None,None
17,Green Knoll,Antony,Hunt,17,Son,NA,Male,Student,None,NA
17,Green Knoll,Diana,Hunt,17,Daughter,NA,Female,Student,None,NA
18,Green Knoll,Maria,Doyle,29,Head,Married,Female,"Engineer, production",None,Septheism
18,Green Knoll,Guy,Doyle,31,Husband,Married,Male,"Scientist, research (life sciences)",None,None
18,Green Knoll,Christian,Doyle,3,Son,NA,Male,Child,None,NA
19,Green Knoll,Leanne,Wallace,49,Head,Single,Female,Chiropractor,None,None
19,Green Knoll,Charlie,Lawrence,19,None,Single,Male,University Student,None,Triangulism
19,Green Knoll,Geoffrey,Patel,25,None,Single,Male,"Engineer, manufacturing systems",None,None
20,Green Knoll,Lee,Long,42,Head,Single,Male,Hotel manager,None,
20,Green Knoll,Mohammed,Davies,63,None,Single,Male,Cabin crew,None,None
20,Green Knoll,Nicholas,Benson,49,None,Single,Male,Community education officer,None,Intramystical
21,Green Knoll,Mathew,Davies,63,Head,Divorced,Male,Outdoor activities/education manager,None,Bioflow
21,Green Knoll,Paige,Davies,40,Daughter,Single,Female,Associate Professor,None,Bioflow
21,Green Knoll,Alice,Davies,36,Daughter,Divorced,Female,"Teacher, adult education",None,None
22,Green Knoll,Naomi,Connor,27,Head,Single,Female,Production manager,None,None
22,Green Knoll,Amber,Connor,1,Daughter,NA,Female,Child,None,NA
22,Green Knoll,Holly,O'Brien,25,Cousin,Single,Female,Insurance account manager,None,Triangulism
23,Green Knoll,Carolyn,Davis,37,Head,Single,Female,Museum/gallery conservator,None,None
23,Green Knoll,Danny,Robinson,42,Partner,Single,Male,"Scientist, research (life sciences)",None,None
23,Green Knoll,Eleanor,Davis,9,Daughter,NA,Female,Student,None,NA
24,Green Knoll,Angela,Johnson,46,Head,Single,Female,Exercise physiologist,None,Intramystical
24,Green Knoll,Amelia,Jones,24,None,Widowed,Female,"Engineer, land",None,Intramystical
24,Green Knoll,Paula,Johnson,46,None,Single,Female,Exercise physiologist,None,None
25,Green Knoll,Amelia,Knowles,58,Head,Divorced,Female,Industrial/product designer,None,Intramystical
25,Green Knoll,Allan,Knowles,26,Son,Single,Male,Computer games developer,None,Intramystical
25,Green Knoll,Leah,Knowles,24,Daughter,Single,Female,Immunologist,None,Intramystical
25,Green Knoll,Chloe,Knowles,24,Daughter,Divorced,Female,Research scientist (physical sciences),None,Intramystical
25,Green Knoll,Reece,Knowles,23,Son,Divorced,Male,Lobbyist,None,None
26,Green Knoll,Craig,Lee,18,Head,Single,Male,University Student,None,Intramystical
26,Green Knoll,Phillip,Long,19,None,Single,Male,University Student,None,None
26,Green Knoll,Edward,Stokes,18,None,Single,Male,University Student,None,None
27,Green Knoll,Michelle,Jones,51,Head,Single,Female,Unemployed,None,Intramystical
27,Green Knoll,Jamie,Jones,7,Son,NA,Male,Student,None,NA
27,Green Knoll,Terry,Jones,2,Son,NA,Male,Child,None,NA
28,Green Knoll,Jemma,Stewart,38,Head,Single,Female,"Accountant, chartered management",None,None
28,Green Knoll,Gordon,Johnson,44,Partner,Single,Male,General practice doctor,None,None
28,Green Knoll,Scott,Stewart,12,Son,NA,Male,Student,None,NA
29,Green Knoll,Jemma,Mason,24,Head,Married,Female,Higher education lecturer,None,None
29,Green Knoll,Colin,Mason,26,Husband,Married,Male,Unemployed,None,None
30,Green Knoll,Lydia,Moore,58,Head,Married,Female,Theme park manager,None,Utheism
30,Green Knoll,Oliver,Moore,59,Husband,Married,Male,"Surveyor, minerals",None,None
30,Green Knoll,Danielle,Moore,21,Daughter,Divorced,Female,Warden/ranger,None,Utheism
30,Green Knoll,Raymond,Moore,18,Son,Single,Male,Student,None,None
30,Green Knoll,Georgia,Moore,14,Daughter,NA,Female,Student,None,NA
30,Green Knoll,Terence,Moore,13,Son,NA,Male,Student,None,NA
31,Green Knoll,Dawn,Foster,45,Head,Divorced,Female,Geoscientist,None,Intramystical
31,Green Knoll,Liam,Foster,12,Son,NA,Male,Student,None,NA
31,Green Knoll,Lee,Foster,10,Son,NA,Male,Student,None,NA
32,Green Knoll,Alison,Griffiths,60,Head,Married,Female,Operations geologist,None,None
32,Green Knoll,Brandon,Griffiths,64,Husband,Married,Male,Interior and spatial designer,None,None
32,Green Knoll,Mohammad,Griffiths,23,Son,Single,Male,Unemployed,None,None
33,Green Knoll,Leslie,Wood,93,Head,Married,Male,Retired Pensions consultant,None,Intramystical
33,Green Knoll,Clare,Wood,92,Wife,Married,Female,Retired Counsellor,None,None
34,Green Knoll,Danielle,Warren,42,Head,Married,Female,Social researcher,None,Triangulism
34,Green Knoll,Max,Warren,49,Husband,Married,Male,Insurance broker,None,Triangulism
34,Green Knoll,Lisa,Warren,21,Daughter,Divorced,Female,Environmental education officer,None,None
34,Green Knoll,Maria,Warren,17,Daughter,NA,Female,Student,None,NA
35,Green Knoll,Francesca,Foster,72,Head,Widowed,Female,"Retired Engineer, maintenance",None,None
36,Green Knoll,Caroline,Newton,58,Head,Single,Female,Unemployed,None,Triangulism
36,Green Knoll,Connor,Day,66,Partner,Single,Male,Stage manager,None,Triangulism
36,Green Knoll,Sam,Newton,17,Son,NA,Male,Student,None,NA
37,Green Knoll,Craig,Barton,42,Head,Married,Male,"Social research officer, government",None,None
37,Green Knoll,Frances,Barton,41,Wife,Married,Female,"Conservator, furniture",None,None
1,Squirrel Pines,Clare,Perry,59,Head,Married,Female,"Designer, interior/spatial",None,None
1,Squirrel Pines,Matthew,Perry,57,Husband,Married,Male,"Administrator, education",None,None
1,Squirrel Pines,Diana,Perry,26,Daughter,Single,Female,Child psychotherapist,None,None
2,Squirrel Pines,Jane,Atkinson,63,Head,Divorced,Female,"Surveyor, mining",None,None
3,Squirrel Pines,Susan,Harvey,50,Head,Single,Female,Garment/textile technologist,None,Triangulism
3,Squirrel Pines,Joe,Dennis,52,Partner,Single,Male,Airline pilot,None,Triangulism
3,Squirrel Pines,Alexandra,Harvey,17,Daughter,NA,Female,Student,None,NA
3,Squirrel Pines,Carly,Harvey,16,Daughter,NA,Female,Student,None,NA
4,Squirrel Pines,Rebecca,Miller,49,Head,Single,Female,Community education officer,None,Triangulism
4,Squirrel Pines,Emily,Ingram,38,None,Single,Female,Social worker,None,None
4,Squirrel Pines,Marian,Green,59,None,Single,Female,Unemployed,None,Intramystical
4,Squirrel Pines,Ann,Crawford,34,None,Single,Female,Neurosurgeon,None,Utheism
4,Squirrel Pines,Keith,Jones,41,None,Single,Male,Farm manager,None,Intramystical
5,Squirrel Pines,Nigel,Edwards,31,Head,Single,Male,Unemployed,None,None
5,Squirrel Pines,Mandy,Burke,34,None,Single,Female,Tree surgeon,None,None
5,Squirrel Pines,Natasha,Stephenson,45,None,Single,Female,"Librarian, public",None,Intramystical
5,Squirrel Pines,Allan,Davis,53,None,Single,Male,Retail merchandiser,None,None
6,Squirrel Pines,Paula,Stokes,60,Head,Married,Female,Music therapist,None,Triangulism
6,Squirrel Pines,Kyle,Stokes,65,Husband,Married,Male,Trade union research officer,None,Triangulism
6,Squirrel Pines,Lynda,Stokes,29,Daughter,Divorced,Female,"Education officer, community",None,None
7,Squirrel Pines,Helen,Lee,80,Head,Married,Female,Retired Exercise physiologist,None,Utheism
7,Squirrel Pines,Gregory,Lee,85,Husband,Married,Male,Retired Legal secretary,None,Utheism
7,Squirrel Pines,Denise,Lee,22,Granddaughter,Single,Female,University Student,None,Utheism
7,Squirrel Pines,Brenda,Lee,18,Granddaughter,Single,Female,Student,None,Utheism
7,Squirrel Pines,Jane,Scott,18,Granddaughter,Single,Female,Student,None,Utheism
8,Squirrel Pines,Samuel,Bradley,37,Head,Married,Male,Sports therapist,None,Intramystical
8,Squirrel Pines,Pauline,Bradley,34,Wife,Married,Female,"Producer, television/film/video",None,None
8,Squirrel Pines,Diana,Bradley,1,Daughter,NA,Female,Child,None,NA
9,Squirrel Pines,Charlie,Foster,49,Head,Married,Male,"Geneticist, molecular",None,None
9,Squirrel Pines,Gail,Foster,47,Wife,Married,Female,Naval architect,None,None
10,Squirrel Pines,Jasmine,Howard,41,Head,Single,Female,Counsellor,None,Triangulism
10,Squirrel Pines,Kyle,Lewis,43,Partner,Single,Male,Research scientist (life sciences),None,None
10,Squirrel Pines,Mary,Howard,6,Daughter,NA,Female,Student,None,NA
10,Squirrel Pines,Toby,Howard,4,Son,NA,Male,Child,None,NA
10,Squirrel Pines,Adam,Howard,1,Son,NA,Male,Child,None,NA
11,Squirrel Pines,Beverley,Ali,44,Head,Married,Female,"Surveyor, building",None,Triangulism
11,Squirrel Pines,Douglas,Ali,48,Husband,Married,Male,Unemployed,None,Triangulism
11,Squirrel Pines,Louis,Ali,22,Son,Single,Male,University Student,None,Triangulism
11,Squirrel Pines,Jodie,Frost-Ali,18,Daughter,Single,Female,Student,None,Triangulism
11,Squirrel Pines,Gail,Frost-Ali,13,Daughter,NA,Female,Student,None,NA
12,Squirrel Pines,Bethan,North,52,Head,Single,Female,"Conservation officer, historic buildings",None,Triangulism
12,Squirrel Pines,Bradley,North,10,Son,NA,Male,Student,None,NA
12,Squirrel Pines,Vanessa,Powell,6,Daughter,NA,Female,Student,None,NA
13,Squirrel Pines,Sandra,Smith,82,Head,Divorced,Female,Retired Hydrologist,None,None
14,Squirrel Pines,Kevin,Curtis,77,Head,Widowed,Male,Unemployed,None,None
14,Squirrel Pines,Louise,Curtis,42,Daughter,Divorced,Female,Accounting technician,None,None
14,Squirrel Pines,Albert,Curtis,40,Son,Single,Male,"Producer, radio",None,None
14,Squirrel Pines,James,Curtis,36,Son,Single,Male,Geographical information systems officer,None,None
15,Squirrel Pines,Kathryn,Pugh,51,Head,Married,Female,Hydrographic surveyor,None,Intramystical
15,Squirrel Pines,George,Sharp,53,Husband,Married,Male,Information systems manager,None,Intramystical
15,Squirrel Pines,Lindsey,Pugh,28,Daughter,Single,Female,Horticultural consultant,None,None
15,Squirrel Pines,Debra,Pugh,24,Daughter,Single,Female,Fast food restaurant manager,None,Intramystical
16,Squirrel Pines,Abdul,Evans,35,Head,Divorced,Male,Magazine journalist,None,None
16,Squirrel Pines,Stacey,Evans,4,Daughter,NA,Female,Child,None,NA
16,Squirrel Pines,Alexandra,Evans,3,Daughter,NA,Female,Child,None,NA
17,Squirrel Pines,Josh,Brown,18,Head,Married,Male,Student,None,NA
17,Squirrel Pines,Megan,Brown,16,Wife,Married,Female,Student,None,NA
18,Squirrel Pines,Beverley,Burns,36,Head,Married,Female,Toxicologist,None,Triangulism
18,Squirrel Pines,Alan,Burns,36,Husband,Married,Male,"Psychotherapist, dance movement",None,Triangulism
18,Squirrel Pines,Amy,Burns,10,Daughter,NA,Female,Student,None,NA
19,Squirrel Pines,Debra,Wells,49,Head,Single,Female,Theatre director,None,None
19,Squirrel Pines,Sam,Lewis,55,None,Single,Male,"Engineer, biomedical",None,None
19,Squirrel Pines,Natalie,Kent,45,None,Single,Female,Facilities manager,None,Triangulism
19,Squirrel Pines,Garry,Clarke,51,None,Single,Male,Artist,None,Intramystical
19,Squirrel Pines,Charlene,Brown,50,None,Single,Female,Investment analyst,None,Triangulism
20,Squirrel Pines,Mandy,Kaur,53,Head,Divorced,Female,Unemployed,None,None
20,Squirrel Pines,Graham,Kaur,17,Son,NA,Male,Student,None,NA
21,Squirrel Pines,Susan,Roberts,50,Head,Divorced,Female,Unemployed,None,None
21,Squirrel Pines,Douglas,Roberts,19,Son,Single,Male,University Student,None,None
21,Squirrel Pines,Lee,Roberts,15,Son,NA,Male,Student,None,NA
21,Squirrel Pines,Craig,Roberts,11,Son,NA,Male,Student,None,NA
21,Squirrel Pines,Reece,Roberts,2,Son,NA,Male,Child,None,NA
22,Squirrel Pines,Sally,Richardson,20,Head,Married,Female,"Horticulturist, commercial",None,None
22,Squirrel Pines,Terence,Richardson,26,Husband,Married,Male,Charity officer,None,None
22,Squirrel Pines,Alison,Hilton,19,Lodger,Single,Female,University Student,None,Intramystical
22,Squirrel Pines,Mary,Kemp,51,Visitor,Single,Female,Public relations officer,None,None
22,Squirrel Pines,Paul,Turnbull,22,Lodger,Single,Male,University Student,None,Triangulism
23,Squirrel Pines,Ricky,Smith,82,Head,Widowed,Male,Retired Best boy,None,None
24,Squirrel Pines,Janice,Taylor,19,Head,Single,Female,University Student,None,None
24,Squirrel Pines,Connor,Holmes,20,None,Single,Male,University Student,None,Triangulism
24,Squirrel Pines,Pauline,Jenkins,20,None,Single,Female,University Student,None,Triangulism
25,Squirrel Pines,Joanne,Moore-Pickering,52,Head,Married,Female,Toxicologist,None,None
25,Squirrel Pines,Neil,Moore-Pickering,50,Husband,Married,Male,"Copywriter, advertising",None,None
25,Squirrel Pines,Leonard,Moore-Pickering,26,Son,Single,Male,"Research officer, trade union",None,None
25,Squirrel Pines,Dale,Moore-Pickering,23,Son,Single,Male,Firefighter,None,None
26,Squirrel Pines,Jane,Parkinson,49,Head,Single,Female,Records manager,None,
26,Squirrel Pines,Russell,Simpson,52,Partner,Single,Male,Holiday representative,None,
26,Squirrel Pines,Kenneth,Parkinson,16,Son,NA,Male,Student,None,NA
27,Squirrel Pines,Darren,Preston,65,Head,Married,Male,Research scientist (maths),None,None
27,Squirrel Pines,Irene,Preston,61,Wife,Married,Female,"Surveyor, quantity",None,None
27,Squirrel Pines,Louise,Bailey-Preston,27,Granddaughter,Single,Female,Primary school teacher,None,None
27,Squirrel Pines,Sheila,Blake,24,Granddaughter,Divorced,Female,Unemployed,None,None
27,Squirrel Pines,Jessica,Black-Blake,18,Granddaughter,Single,Female,Student,None,None
28,Squirrel Pines,Carol,Jones-Taylor,62,Head,Married,Female,Estate agent,None,Intramystical
28,Squirrel Pines,Lawrence,Jones-Taylor,71,Husband,Married,Male,Retired Art therapist,None,Intramystical
28,Squirrel Pines,Owen,Jones-Taylor,36,Son,Divorced,Male,Financial risk analyst,None,Intramystical
29,Squirrel Pines,Janice,Reeves,50,Head,Married,Female,Unemployed,None,None
29,Squirrel Pines,Hugh,Reeves,52,Husband,Married,Male,Magazine journalist,None,None
29,Squirrel Pines,Karl,Reeves,9,Grandson,NA,Male,Student,None,NA
30,Squirrel Pines,Beverley,Cartwright,39,Head,Single,Female,Clinical research associate,None,Triangulism
30,Squirrel Pines,Glen,Jackson,38,Partner,Single,Male,"Engineer, building services",None,None
30,Squirrel Pines,Francis,Cartwright,9,Son,NA,Male,Student,None,NA
31,Squirrel Pines,Mathew,Murray,41,Head,Single,Male,Plant breeder/geneticist,None,
31,Squirrel Pines,Denise,Byrne,42,Partner,Single,Female,Ceramics designer,None,
31,Squirrel Pines,Ben,Murray,3,Son,NA,Male,Child,None,NA
32,Squirrel Pines,Hazel,Jones,45,Head,Widowed,Female,"Engineer, manufacturing",None,Triangulism
32,Squirrel Pines,Lawrence,Jones,18,Son,Single,Male,Student,None,Triangulism
32,Squirrel Pines,Judith,Jones,14,Daughter,NA,Female,Student,None,NA
32,Squirrel Pines,Jane,Jones,11,Daughter,NA,Female,Student,None,NA
32,Squirrel Pines,Kyle,Jones,11,Son,NA,Male,Student,None,NA
33,Squirrel Pines,Angela,Harrison,36,Head,Married,Female,"Surveyor, insurance",None,Intramystical
33,Squirrel Pines,Mitchell,Harrison-Smith,37,Husband,Married,Male,Podiatrist,None,Intramystical
33,Squirrel Pines,Jenna,Carr,38,Lodger,Single,Female,"Engineer, structural",None,Triangulism
33,Squirrel Pines,Kelly,Fletcher,30,Lodger,Single,Female,Estate agent,None,None
33,Squirrel Pines,Dominic,Anderson,39,Lodger,Divorced,Male,Television production assistant,None,Triangulism
34,Squirrel Pines,Caroline,Davies,49,Head,Single,Female,Astronomer,None,Triangulism
34,Squirrel Pines,Graeme,Hill,53,Partner,Single,Male,Interpreter,None,Triangulism
34,Squirrel Pines,Gerald,Davies,21,Son,Single,Male,University Student,None,Triangulism
34,Squirrel Pines,Leon,Davies,6,Son,NA,Male,Student,None,NA
35,Squirrel Pines,Linda,McDonald,47,Head,Married,Female,Occupational hygienist,None,None
35,Squirrel Pines,Alan,McDonald,51,Husband,Married,Male,Astronomer,None,None
35,Squirrel Pines,Dorothy,McDonald,16,Daughter,NA,Female,Student,None,NA
36,Squirrel Pines,Patrick,Johnson,22,Head,Single,Male,University Student,None,None
36,Squirrel Pines,Liam,Thornton,60,None,Single,Male,Local government officer,None,None
36,Squirrel Pines,Beverley,Woodward,37,None,Single,Female,"Surveyor, quantity",None,None
36,Squirrel Pines,Rachael,Grant,53,None,Divorced,Female,"Physicist, medical",None,Intramystical
37,Squirrel Pines,Jade,Wood,41,Head,Married,Female,Unemployed,None,None
37,Squirrel Pines,Keith,Wood,43,Husband,Married,Male,Scientific laboratory technician,None,None
37,Squirrel Pines,Donna,Wood,16,Daughter,NA,Female,Student,None,NA
38,Squirrel Pines,Paige,Fletcher,29,Head,Married,Female,Recruitment consultant,None,Triangulism
38,Squirrel Pines,Shaun,Fletcher,34,Husband,Married,Male,Pensions consultant,None,None
38,Squirrel Pines,Leah,Fletcher,12,Daughter,NA,Female,Student,None,NA
39,Squirrel Pines,Suzanne,Martin,65,Head,Married,Female,Print production planner,None,Triangulism
39,Squirrel Pines,Colin,Martin,68,Husband,Married,Male,Retired Corporate investment banker,None,None
40,Squirrel Pines,Iain,Hancock,45,Head,Single,Male,"Engineer, manufacturing",None,None
41,Squirrel Pines,Gareth,Thomas,21,Head,Divorced,Male,University Student,None,Angry
41,Squirrel Pines,Claire,Thomas,4,Daughter,NA,Female,Child,None,NA
41,Squirrel Pines,Thomas,Thomas,3,Son,NA,Male,Child,None,NA
42,Squirrel Pines,Alice,Collins,73,Head,Married,Female,"Retired Development worker, international aid",None,None
42,Squirrel Pines,Craig,Collins,72,Husband,Married,Male,Unemployed,None,None
42,Squirrel Pines,Vincent,Collins,40,Son,Single,Male,"Psychologist, sport and exercise",None,None
42,Squirrel Pines,Lisa,Collins,36,Daughter,Divorced,Female,Airline pilot,None,None
42,Squirrel Pines,Francesca,Collins,32,Daughter,Single,Female,Music therapist,None,None
43,Squirrel Pines,Alice,Webster,30,Head,Single,Female,"Conservation officer, nature",None,Triangulism
43,Squirrel Pines,Kenneth,Evans,36,Partner,Single,Male,Research scientist (medical),None,Triangulism
43,Squirrel Pines,Marilyn,Webster,10,Daughter,NA,Female,Student,None,NA
1,Rhodes Station,Kelly,Foster,75,Head,Widowed,Female,"Retired Runner, broadcasting/film/video",None,Intramystical
2,Rhodes Station,Carol,Sheppard,39,Head,Single,Female,Secretary/administrator,None,
2,Rhodes Station,Mary,Sheppard,5,Daughter,NA,Female,Student,None,NA
2,Rhodes Station,Philip,Sheppard,4,Son,NA,Male,Child,None,NA
3,Rhodes Station,Yvonne,Roberts,48,Head,Single,Female,Haematologist,None,Triangulism
3,Rhodes Station,Cameron,Brown,50,Partner,Single,Male,Unemployed,None,Triangulism
4,Rhodes Station,Tina,Parry,52,Head,Married,Female,Cartographer,None,Intramystical
4,Rhodes Station,Duncan,Parry,52,Husband,Married,Male,Forest/woodland manager,None,Intramystical
4,Rhodes Station,Dawn,Parry,16,Daughter,NA,Female,Student,None,NA
5,Rhodes Station,Jenna,Williams,55,Head,Married,Female,Clinical research associate,None,Intramystical
5,Rhodes Station,Matthew,Williams,55,Husband,Married,Male,Public relations account executive,None,None
6,Rhodes Station,Gail,Newton,52,Head,Married,Female,Orthoptist,None,Intramystical
6,Rhodes Station,Sean,Newton,54,Husband,Married,Male,Learning disability nurse,None,None
6,Rhodes Station,Steven,Newton,24,Son,Single,Male,Oceanographer,None,Intramystical
6,Rhodes Station,Tracey,Doyle-Newton,0,Daughter,NA,Female,Child,None,NA
7,Rhodes Station,Henry,Adams,70,Head,Married,Male,Retired Stage manager,None,Intramystical
7,Rhodes Station,Suzanne,Adams,69,Wife,Married,Female,Retired Quality manager,None,None
8,Rhodes Station,Danielle,Hopkins,27,Head,Married,Female,Chemical engineer,None,Intramystical
8,Rhodes Station,Christian,Hopkins,30,Husband,Married,Male,Veterinary surgeon,None,Intramystical
9,Rhodes Station,Howard,Hammond-Stephenson,74,Head,Married,Male,Retired Futures trader,None,None
9,Rhodes Station,Marian,Hammond-Stephenson,70,Wife,Married,Female,Retired Claims inspector/assessor,None,None
9,Rhodes Station,Ian,Hammond-Stephenson,43,Son,Single,Male,"Therapist, sports",None,None
9,Rhodes Station,Malcolm,Hammond-Stephenson,42,Son,Single,Male,Herbalist,None,None
9,Rhodes Station,Karl,Hammond-Stephenson,35,Son,Single,Male,"Research officer, political party",None,None
10,Rhodes Station,Leigh,Wells,22,Head,Single,Male,University Student,None,Triangulism
10,Rhodes Station,Marilyn,Mitchell,23,Partner,Single,Female,"Surveyor, building",None,None
11,Rhodes Station,Roger,Holmes,55,Head,Married,Male,Child psychotherapist,None,Intramystical
11,Rhodes Station,Stephanie,Holmes,47,Wife,Married,Female,"Engineer, mining",None,Intramystical
12,Rhodes Station,Francis,Holloway,58,Head,Married,Male,Podiatrist,None,Intramystical
12,Rhodes Station,Frances,Holloway,56,Wife,Married,Female,Marine scientist,None,None
12,Rhodes Station,Stuart,Wells,8,Grandson,NA,Male,Student,None,NA
13,Rhodes Station,Michael,Potts,50,Head,Single,Male,Unemployed,None,
13,Rhodes Station,Samuel,Potts,21,Son,Divorced,Male,"Engineer, maintenance",None,
14,Rhodes Station,Hugh,Reed,55,Head,Married,Male,Minerals surveyor,None,Intramystical
14,Rhodes Station,Laura,Reed,53,Wife,Married,Female,Tax inspector,None,Intramystical
15,Rhodes Station,Clive,Page,44,Head,Single,Male,Corporate investment banker,None,Triangulism
15,Rhodes Station,Louise,Miles,55,None,Single,Female,Site engineer,None,Intramystical
15,Rhodes Station,Douglas,Pearce,42,None,Single,Male,"Teacher, adult education",None,Triangulism
16,Rhodes Station,Lindsey,Ali,23,Head,Married,Female,"Designer, television/film set",None,None
16,Rhodes Station,Frederick,Ali,25,Husband,Married,Male,Management consultant,None,None
17,Rhodes Station,Susan,Barrett,73,Head,Widowed,Female,Retired Seismic interpreter,None,Intramystical
18,Rhodes Station,Stephanie,Fox,61,Head,Divorced,Female,Colour technologist,None,Utheism
18,Rhodes Station,Anthony,Fox,35,Son,Single,Male,"Engineer, biomedical",None,Utheism
19,Rhodes Station,Charlene,Long,37,Head,Divorced,Female,"Librarian, academic",None,Intramystical
19,Rhodes Station,Hugh,Nicholson,49,Lodger,Single,Male,Purchasing manager,None,None
20,Rhodes Station,Jacqueline,Watts,47,Head,Married,Female,Social worker,None,Intramystical
20,Rhodes Station,Karl,Watts,43,Husband,Married,Male,Corporate treasurer,None,Intramystical
21,Rhodes Station,Paul,Owens,74,Head,Married,Male,Retired Associate Professor,None,Intramystical
